regime,best_wait_baseline,best_wait_baseline_value,rl_wait,rl_wait_improvement_pct,best_queue_baseline,best_queue_baseline_value,rl_queue,rl_queue_improvement_pct,fixed_cycle_wait,fixed_cycle_queue,fixed_cycle_throughput,fixed_cycle_switch_count,fixed_cycle_invalid_switch_count,queue_threshold_wait,queue_threshold_queue,queue_threshold_throughput,queue_threshold_switch_count,queue_threshold_invalid_switch_count,max_pressure_wait,max_pressure_queue,max_pressure_throughput,max_pressure_switch_count,max_pressure_invalid_switch_count,dqn_wait,dqn_queue,dqn_throughput,dqn_switch_count,dqn_invalid_switch_count
symmetric_low,max_pressure,7.619127,7.287255,4.3558,max_pressure,5.031,4.820417,4.1857,14.337272,9.42075,1.956,18.0,0.0,9.423651,6.23175,1.95725,28.75,0.0,7.619127,5.031,1.9635,61.9,0.0,7.287255,4.820417,1.96125,50.866667,0.0
symmetric_high,queue_threshold,10.836162,9.976451,7.9337,queue_threshold,17.044,15.694417,7.9182,16.987901,26.5675,4.579,18.0,0.0,10.836162,17.044,4.639,46.45,0.0,12.616076,19.9865,4.611,63.7,0.0,9.976451,15.694417,4.64775,46.666667,0.0
asymmetric,max_pressure,8.859859,8.063465,8.9888,max_pressure,11.0395,10.086,8.6372,17.094805,21.16775,3.682,18.0,0.0,9.12774,11.40875,3.6895,33.7,0.0,8.859859,11.0395,3.69525,55.15,0.0,8.063465,10.086,3.697833,41.833333,0.0
nonstationary,max_pressure,9.053053,8.226043,9.1351,max_pressure,8.626,7.85775,8.9062,15.474997,14.65475,2.8065,18.0,0.0,9.670008,9.2225,2.81825,34.25,0.0,9.053053,8.626,2.825,61.8,0.0,8.226043,7.85775,2.824333,48.566667,0.0
burst_east_west,max_pressure,8.901273,8.247377,7.3461,max_pressure,9.5395,8.84225,7.3091,16.106391,17.16175,3.15725,18.0,0.0,9.326923,9.9945,3.17875,37.9,0.0,8.901273,9.5395,3.17775,62.3,0.0,8.247377,8.84225,3.18075,50.1,0.0
